;Bugged;WMC_CK_min;WMC_CK_max;WMC_CK_75%;WMC_CK_count;WMC_CK_mean;WMC_CK_std;DIT;WMC_CK_50%;WMC_CK_25%;NPM;NOCh;NORM;WMC;NMI
count;289;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0
unique;2;;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;;
freq;273;;;;;;;;;;;;;;
mean;;1.560553633217993;4.972318339100346;2.6072664359861593;6.743944636678201;2.4161411633144345;1.3393360470499185;0.532871972318339;1.9653979238754324;1.7240484429065743;4.885813148788928;0.0;0.0;13.176470588235293;0.0
std;;2.7620885260540304;8.344529675746829;3.7423763898556106;12.688447816692326;3.420971924151818;3.5959867075388408;0.49978369023430674;2.992846783976217;2.824545417777802;13.407765141512787;0.0;0.0;33.57392341287109;0.0
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
50%;;1.0;2.0;1.0;3.0;1.25;0.0;1.0;1.0;1.0;1.0;0.0;0.0;2.0;0.0
75%;;1.0;6.0;3.0;7.0;2.5;1.5;1.0;2.0;1.0;4.0;0.0;0.0;13.0;0.0
max;;23.0;96.0;25.5;136.0;25.0;47.33568069296845;1.0;23.0;23.0;107.0;0.0;0.0;273.0;0.0
