;VG;Fout;MCLC;NBD;Di;NCOMP;IOVars;Fin;NOP;NVAR;BuggedMethods;Si;Ci
count;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228;1228.0;1228.0
unique;;;;;;;;;;;2;;
top;;;;;;;;;;;False;;
freq;;;;;;;;;;;1186;;
mean;0.504885993485342;0.03257328990228013;0.4552117263843648;0.36563517915309446;0.33980921358713356;0.27931596091205213;0.3493485342019544;0.061074918566775244;0.16042345276872963;0.1758957654723127;;0.1449511400651466;0.48476035365228015
std;1.4058240379882996;0.37948305721366815;2.0539854603559933;0.7801687300836758;0.6837123718152434;1.3092345279710562;0.6940951782023252;0.6112363925299017;0.40914224366818785;0.8909609084519657;;2.7364839660389517;2.8095446044080488
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
75%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
max;19.0;9.0;27.0;6.0;5.0;16.0;5.0;16.0;4.0;14.0;;81.0;81.0
