;WMC_CK_75%;WMC_CK_25%;WMC_CK_count;NMI;WMC_CK_50%;NOCh;NPM;WMC;NORM;NMIR;Bugged;WMC_CK_mean;WMC_CK_max;WMC_CK_min;DIT;WMC_CK_std
count;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684;684.0;684.0;684.0;684.0;684.0
unique;;;;;;;;;;;2;;;;;
top;;;;;;;;;;;False;;;;;
freq;;;;;;;;;;;409;;;;;
mean;1.7441520467836258;1.2141812865497077;6.991228070175438;0.0;1.3669590643274854;0.0;5.181286549707602;14.928362573099415;0.0;0.0;;1.6428117451582491;3.4941520467836256;1.1432748538011697;0.827485380116959;0.8033235133890898
std;1.6696856246591638;1.2340475141717524;9.63324126600439;0.0;1.3435455349451906;0.0;9.207667603984756;21.23146818377789;0.0;0.0;;1.4720015749099553;5.049531617695554;1.1953785241500896;0.3781036036213503;1.4282987059186827
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
25%;1.0;1.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;;1.0;1.0;1.0;1.0;0.0
50%;1.0;1.0;3.0;0.0;1.0;0.0;2.0;7.0;0.0;0.0;;1.2;2.0;1.0;1.0;0.0
75%;2.0;1.0;8.0;0.0;1.5;0.0;6.0;20.0;0.0;0.0;;2.0;4.0;1.0;1.0;1.1547005383792517
max;24.0;24.0;70.0;0.0;24.0;0.0;66.0;180.0;0.0;0.0;;24.0;54.0;24.0;1.0;11.186348258112593
