;ExecutableStatementCount;NCSSForThisClass;NumberOfPublicMethods_Checkstyle;NumberOfProtectedMethod;NPathComplexity;NumberOfMethods_Checkstyle;NestedTryDepth;FileLength;NCSSForThisMethod;NestedIfElseDepth;NumberOfPackageMethod;CyclomaticComplexity;BooleanExpressionComplexity;NumberOfPrivateMethod;NestedForDepth;ClassFanOutComplexity;BuggedMethods;AnonymousInnerClassLength;ClassDataAbstractionCoupling;ThrowsCount;NCSSForThisFile;MethodLength
count;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607;5607.0;5607.0;5607.0;5607.0;5607.0
unique;;;;;;;;;;;;;;;;;2;;;;;
top;;;;;;;;;;;;;;;;;False;;;;;
freq;;;;;;;;;;;;;;;;;4995;;;;;
mean;1.5002675227394329;3.35330836454432;0.4011057606563225;0.04851079008382379;5.420902443374353;0.49563046192259674;0.0005350454788657035;8.325129302657393;2.2172284644194757;0.024968789013732832;0.006955591225254147;0.8512573568753344;0.05207775994292848;0.04726235063313715;0.0024968789013732834;0.581772784019975;;0.3786338505439629;0.15944355270197966;0.02443374353486713;4.040306759407883;3.211878009630819
std;3.4875485564749096;20.273122157347878;2.7031420633547607;0.4697038077142932;192.23108393492046;3.001297226559595;0.02312692361107167;45.55070387087978;4.185610974665587;0.20189274267930254;0.1418047453036036;1.3322443058272793;0.3123093907727891;0.6319018455407668;0.04991080823884464;2.9022072983737752;;2.8624414812450705;1.1267716033625483;0.16007745245383703;24.71475836918706;6.215282296203873
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
50%;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;3.0
75%;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;3.0
max;70.0;460.0;63.0;19.0;10000.0;63.0;1.0;863.0;71.0;5.0;8.0;23.0;8.0;27.0;1.0;44.0;;110.0;22.0;2.0;562.0;168.0
