;CyclomaticComplexity;NumberOfAnonymousClasses;Returns;NestedTryDepth;AnonymousInnerClassLength;RFC;NumberOfPublicMethods_Checkstyle;NumberOfNumbers;WMC_CK;NumberOfLoops;NCSSForThisFile;ClassDataAbstractionCoupling;FileLength;NumberOfStringLiterals;MaxNumberOfNestedBlocks;NumberOfParameters_CK;NumberOfMathOperations;LOCMethod_CK;Maximum Depth;IsConstructor;NCSSForThisClass;NumberOfTryCatch;ThrowsCount;NumberOfComparisons;NumberOfProtectedMethod;NCSSForThisMethod;NestedForDepth;NumberOfInnerClasses;CBO;NumberOfPrivateMethod;NumberOfUniqueWords;BuggedMethods;NumberOfAssignments;MethodLength;NumberOfParenthesizedExps;NumberOfVariables;NumberOfModifiers;NumberOfLogStatements;ExecutableStatementCount;NumberOfPackageMethod;NumberOfLambdas;ClassFanOutComplexity;NestedIfElseDepth;NumberOfMethods_Checkstyle;BooleanExpressionComplexity;NPathComplexity
count;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0;6725.0
unique;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;2;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;False;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;6505;;;;;;;;;;;;6609;;;;;;;;;;;;;;
mean;1.0715241635687733;0.0008921933085501858;0.4612639405204461;0.0005947955390334573;0.12728624535315985;1.2593308550185873;0.35226765799256504;0.3426022304832714;1.0333085501858736;0.09011152416356877;5.556728624535316;0.13858736059479554;10.851152416356877;0.6115985130111524;0.22825278810408922;0.260817843866171;0.13353159851301116;3.967732342007435;0.6777695167286245;;4.358066914498141;0.0025278810408921933;0.06527881040892193;0.17933085501858737;0.052342007434944236;3.3030483271375464;0.013680297397769516;0.00014869888475836432;0.9086988847583644;0.05680297397769517;4.94453531598513;;0.9669888475836431;4.663791821561338;0.05382899628252788;0.6144237918215614;1.00817843866171;0.002379182156133829;2.35092936802974;0.001486988847583643;0.0;0.6645353159851302;0.0695910780669145;0.4550185873605948;0.06052044609665427;20.12014869888476
std;2.942958526644301;0.029858497436201222;1.1941982030141933;0.024382989219380733;1.4735948233646217;3.677910632329216;2.017048025258946;2.020737391287123;2.837470734170696;0.5356688981126742;34.77859265188269;1.1873087422251696;58.20807208195469;3.821015950828781;0.6999863993601211;0.6063962926099294;1.3053958754007473;11.234123557784685;1.0948969391542127;;29.753173024190538;0.05021818253357775;0.47955564559957503;1.0029497681762376;0.48774018067651165;10.172591421405029;0.12948751122049154;0.012194215216993846;2.12936541543791;0.7515897551290528;8.303976453270787;;4.5240889966793985;13.007713090227602;0.4038250160244917;3.0664658006041794;2.5777196580727613;0.06213762656365773;7.872646024498047;0.06677887777941698;0.0;3.2645863511553315;0.3338505401293497;2.4506322292064127;0.3076382802692327;405.89904781806166
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;;0.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;7.0;;0.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
max;101.0;1.0;53.0;1.0;52.0;111.0;77.0;56.0;101.0;15.0;929.0;44.0;1377.0;150.0;7.0;8.0;71.0;386.0;9.0;;866.0;1.0;8.0;34.0;15.0;347.0;3.0;1.0;57.0;27.0;101.0;;152.0;367.0;11.0;122.0;41.0;3.0;226.0;5.0;0.0;73.0;5.0;87.0;6.0;10000.0
